id,url,headline,author,date
64,https://www.theverge.com/2023/3/28/23660005/e-fuels-internal-combustion-engine-car-european-union-2035-climate-deadline,E-fuels could keep combustion engine cars on the road in the EU past its 2035 climate deadline,Justine Calma,2023-03-28
65,https://www.theverge.com/2023/3/28/23658646/nasa-venus-funding-scientist-reaction-volcano-veritas,Scientists erupt at NASA gutting funding for crucial Venus mission,Georgina Torbet,2023-03-28
66,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023-03-27
67,https://www.theverge.com/2023/3/24/23655462/epic-games-unreal-editor-fortnite-permaban-dmca,Trying to recreate Mario Kart in the Fortnite editor could get you banned,Jay Peters,2023-03-24
68,https://www.theverge.com/2023/3/24/23654831/tiktok-congressional-hearing-xenophobia-china,"That TikTok hearing was pretty messed up, right?",Alex Cranz,2023-03-24
69,https://www.theverge.com/2023/3/28/23660573/npr-layoff-podcast-adnan-syed-serial-apple-update-slate-youtube-amy-poehler,NPR prioritizes radio over podcasts with steep cuts,Ariel Shapiro,2023-03-28
70,https://www.theverge.com/2023/3/28/23660473/substack-retail-investors-revenue-profit,How much money do we think Substack lost last year?,Elizabeth Lopatto,2023-03-28
71,https://www.theverge.com/2023/3/28/23660059/tears-of-the-kingdom-open-world-potential-nintendo-switch,"Tears of the Kingdom is going to ruin our lives, and I’m here for it",Ash Parrish,2023-03-28
72,https://www.theverge.com/2023/3/28/23659492/fortnite-creator-economy-2-0-epic-games-catch,Fortnite’s generous new creator economy has an Epic catch,Jay Peters,2023-03-28
73,https://www.theverge.com/2023/3/28/23660742/paramount-plus-star-trek-lower-decks-season-5-strange-new-worlds-3,Paramount Plus has renewed Star Trek: Lower Decks and Star Trek: Strange New Worlds,Charles Pulliam-Moore,2023-03-28
74,https://www.theverge.com/2023/3/28/23659883/titmouse-5-second-night-2023,Titmouse’s 5 Second Night animation showcase is back with a vengeance,Charles Pulliam-Moore,2023-03-28
75,https://www.theverge.com/23613289/best-games-movie-tv-entertainment-2023,The best entertainment of 2023,Andrew Webster,2023-03-17
76,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,2023-03-28
77,https://www.theverge.com/2023/3/28/23659868/amazon-returns-warning-product-reviews-tag-feature,Amazon starts flagging ‘frequently returned’ products that you maybe shouldn’t buy,Jess Weatherbed,2023-03-28
78,https://www.theverge.com/2023/3/27/23657938/microsoft-teams-overhaul-performance-improvements-ui-design-changes-features,The new Microsoft Teams is here with big performance improvements and UI changes,Tom Warren,2023-03-27
79,https://www.theverge.com/2023/3/28/23660059/tears-of-the-kingdom-open-world-potential-nintendo-switch,"Tears of the Kingdom is going to ruin our lives, and I’m here for it",Ash Parrish,2023-03-28
80,https://www.theverge.com/2023/3/27/23657927/ai-pope-image-fake-midjourney-computer-generated-aesthetic,The swagged-out pope is an AI fake — and an early glimpse of a new reality,James Vincent,2023-03-27
